"y","llm","topic","quiz","item","quiz_id"
0,"claude-haiku-4-5-20251001","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-001","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-haiku-4-5-20251001","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-002","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-haiku-4-5-20251001","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-003","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-haiku-4-5-20251001","Anesthesiology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-004","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"claude-haiku-4-5-20251001","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-005","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"claude-haiku-4-5-20251001","General Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-006","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"claude-haiku-4-5-20251001","Ophthalmology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-007","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-haiku-4-5-20251001","Orthopedic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-008","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"claude-haiku-4-5-20251001","Critical Care Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-009","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-haiku-4-5-20251001","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-010","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-opus-4-5-20251101","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-001","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-opus-4-5-20251101","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-002","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-opus-4-5-20251101","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-003","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-opus-4-5-20251101","Anesthesiology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-004","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-opus-4-5-20251101","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-005","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-opus-4-5-20251101","General Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-006","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-opus-4-5-20251101","Ophthalmology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-007","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-opus-4-5-20251101","Orthopedic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-008","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-opus-4-5-20251101","Critical Care Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-009","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-opus-4-5-20251101","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-010","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"deepseek-v3.2","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-001","ABMS20260101_claude-opus-4-5-20251101_p01"
