"item","p_item","n_llms","topic","quiz"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-001",0.9,10,"Pediatrics","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-002",0.9,10,"Emergency Medicine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-003",1,10,"Obstetrics and Gynecology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-004",0.6,10,"Anesthesiology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-005",0.9,10,"Psychiatry","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-006",0.6,10,"General Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-007",0.2,10,"Ophthalmology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-008",1,10,"Orthopedic Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-009",0.9,10,"Critical Care Medicine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-010",1,10,"Neurology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-001",1,10,"Dermatology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-002",0.9,10,"Urology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-003",0.8,10,"Otolaryngology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-004",0.2,10,"Physical Medicine and Rehabilitation","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-005",0.8,10,"Plastic Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-006",1,10,"Neurological Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-007",1,10,"Radiation Oncology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-008",0.9,10,"Thoracic Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-009",0.8,10,"Vascular Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-010",0.7,10,"Cardiovascular","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-001",1,10,"Endocrine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-002",0.8,10,"Gastrointestinal","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-003",0.2,10,"Pulmonary","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-004",1,10,"Nephrology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-005",0.7,10,"Hematology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-006",1,10,"Immunology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-007",1,10,"Rheumatology/Musculoskeletal","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-008",0.9,10,"Infectious Disease","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-009",1,10,"Medical Oncology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-010",1,10,"Allergy/Immunology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-001",1,10,"Geriatrics","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-002",1,10,"Pediatrics","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-003",0.4,10,"Emergency Medicine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-004",0.7,10,"Obstetrics and Gynecology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-005",1,10,"Anesthesiology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-006",0.6,10,"Psychiatry","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-007",0.8,10,"General Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-008",0.8,10,"Neurology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-009",0.9,10,"Cardiovascular","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-010",0.3,10,"Endocrine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-001",1,10,"Gastrointestinal","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-002",0.9,10,"Pulmonary","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-003",1,10,"Infectious Disease","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-004",1,10,"Pediatrics","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-005",1,10,"Emergency Medicine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-006",0.6,10,"Obstetrics and Gynecology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-007",0.5,10,"Psychiatry","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-008",0.1,10,"Neurology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-009",1,10,"Pediatrics","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-010",1,10,"Pediatrics","claude-opus-4-5-20251101"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-001",0.9,10,"Pediatrics","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-002",0.6,10,"Emergency Medicine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-003",0.7,10,"Obstetrics and Gynecology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-004",1,10,"Anesthesiology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-005",0.5,10,"Psychiatry","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-006",0.7,10,"General Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-007",0.8,10,"Ophthalmology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-008",1,10,"Orthopedic Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-009",0.9,10,"Critical Care Medicine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-010",1,10,"Neurology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-001",1,10,"Dermatology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-002",1,10,"Urology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-003",1,10,"Otolaryngology","deepseek-v3.2"
