"item","p_item","n_llms","topic","quiz"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-001",1,6,"Pediatrics","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-002",1,6,"Emergency Medicine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-003",1,6,"Obstetrics and Gynecology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-004",0.333333333333333,6,"Anesthesiology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-005",1,6,"Psychiatry","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-006",0.833333333333333,6,"General Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-007",0.166666666666667,6,"Ophthalmology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-008",1,6,"Orthopedic Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-009",1,6,"Critical Care Medicine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p01::ABMS20260101_claude-opus-4-5-20251101_p01-010",1,6,"Neurology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-001",1,6,"Dermatology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-002",1,6,"Urology","claude-opus-4-5-20251101"
