"topic","n_items","mean_p_item","lo95","hi95","mean_pct","lo95_pct","hi95_pct","rank_hard_to_easy"
"Vascular Surgery",6,0.638888888888889,0.416666666666667,0.833333333333333,63.8888888888889,41.6666666666667,83.3333333333333,1
"Neurological Surgery",6,0.666666666666667,0.333333333333333,0.916666666666667,66.6666666666667,33.3333333333333,91.6666666666667,2
"Ophthalmology",6,0.777777777777778,0.5,1,77.7777777777778,50,100,3
"Infectious Disease",12,0.805555555555556,0.625,0.944444444444444,80.5555555555556,62.5,94.4444444444444,4
"Physical Medicine and Rehabilitation",6,0.805555555555556,0.527777777777778,1,80.5555555555556,52.7777777777778,100,5
"Radiation Oncology",6,0.805555555555556,0.527777777777778,1,80.5555555555556,52.7777777777778,100,6
"Thoracic Surgery",6,0.805555555555556,0.472222222222222,1,80.5555555555556,47.2222222222222,100,7
"Pediatrics",30,0.816666666666667,0.716666666666667,0.905555555555556,81.6666666666667,71.6666666666667,90.5555555555556,8
"Pulmonary",12,0.847222222222222,0.652430555555556,1,84.7222222222222,65.2430555555556,100,9
"Emergency Medicine",18,0.87037037037037,0.731481481481482,0.981481481481482,87.037037037037,73.1481481481482,98.1481481481482,10
"Hematology",6,0.888888888888889,0.777777777777778,1,88.8888888888889,77.7777777777778,100,11
"Obstetrics and Gynecology",18,0.898148148148148,0.814814814814815,0.962962962962963,89.8148148148148,81.4814814814815,96.2962962962963,12
"Endocrine",12,0.902777777777778,0.791666666666667,1,90.2777777777778,79.1666666666667,100,13
"General Surgery",12,0.902777777777778,0.805555555555556,0.972222222222222,90.2777777777778,80.5555555555556,97.2222222222222,14
"Neurology",18,0.907407407407407,0.796296296296296,0.990740740740741,90.7407407407407,79.6296296296296,99.0740740740741,15
"Cardiovascular",12,0.916666666666667,0.833333333333333,0.986111111111111,91.6666666666667,83.3333333333333,98.6111111111111,16
"Dermatology",6,0.916666666666667,0.805555555555556,1,91.6666666666667,80.5555555555556,100,17
"Geriatrics",6,0.916666666666667,0.75,1,91.6666666666667,75,100,18
"Nephrology",6,0.916666666666667,0.75,1,91.6666666666667,75,100,19
"Orthopedic Surgery",6,0.916666666666667,0.805555555555556,1,91.6666666666667,80.5555555555556,100,20
"Plastic Surgery",6,0.916666666666667,0.861111111111111,0.972222222222222,91.6666666666667,86.1111111111111,97.2222222222222,21
"Psychiatry",18,0.925925925925926,0.842592592592593,1,92.5925925925926,84.2592592592593,100,22
"Anesthesiology",12,0.930555555555556,0.805555555555556,1,93.0555555555556,80.5555555555556,100,23
"Gastrointestinal",12,0.930555555555556,0.861111111111111,1,93.0555555555556,86.1111111111111,100,24
"Allergy/Immunology",6,0.944444444444444,0.833333333333333,1,94.4444444444444,83.3333333333333,100,25
"Critical Care Medicine",6,0.944444444444444,0.833333333333333,1,94.4444444444444,83.3333333333333,100,26
"Immunology",6,0.944444444444444,0.833333333333333,1,94.4444444444444,83.3333333333333,100,27
"Medical Oncology",6,0.972222222222222,0.916666666666667,1,97.2222222222222,91.6666666666667,100,28
"Urology",6,0.972222222222222,0.916666666666667,1,97.2222222222222,91.6666666666667,100,29
"Otolaryngology",6,1,1,1,100,100,100,30
"Rheumatology/Musculoskeletal",6,1,1,1,100,100,100,31
