Family Medicine Board Exam Topics,Percentage,Include
Cardiovascular,12%,1
Endocrine,8%,1
Gastrointestinal,7%,1
Hematologic/Immune,3%,1
Integumentary,6%,1
Musculoskeletal,12%,1
Nephrologic,3%,1
Neurologic,3%,0
Nonspecific,9%,0
Psychogenic,7%,0
Reproductive - Female,4%,1
Reproductive - Male,1%,1
Respiratory,13%,1
Special Sensory,2%,0
"Population-based Care This includes topics such as biostatistics and epidemiology, evidence-based medicine, prevention, health policy and legal issues, bioterror, quality improvement, and geographic/urban/rural issues.",2%,0
"Patient-based Systems This includes topics such as clinical decision-making, communication and doctor-patient interaction, family and cultural issues, ethics, palliative care, and end-of-life care.",5%,0
