Internal Medicine Board Exam Topics,Percent of Exam,Include
Allergy and Immunology,2%,1
Cardiovascular,14%,1
Dermatology,3%,1
"Endocrinology, Diabetes, and Metabolism",9%,1
Gastroenterology,9%,1
Geriatric Syndromes,3%,1
Hematology,6%,1
Infectious Disease,9%,1
Medical Oncology,6%,1
Miscellaneous,2%,0
"Nephrology and Urology",6%,1
Neurology,4%,0
"Obstetrics and Gynecology",3%,0
Ophthalmology,1%,0
"Rheumatology and Orthopedics",9%,1
"Otolaryngology and Dental Medicine",1%,0
Psychiatry,4%,0
Pulmonary Disease,9%,1
